company_cnae;cnae_section_id;cnae_section_desc;cnae_division_id;cnae_division_desc;cnae_group_id;cnae_group_desc;cnae_class_id;cnae_class_desc;company_cnae_desc
4744005;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens madeira e materiais de construção;Comércio varejista de materiais de construção não especificados anteriormente
4744006;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens madeira e materiais de construção;Comércio varejista de pedras para revestimento
4744099;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens madeira e materiais de construção;Comércio varejista de materiais de construção em geral
4751200;-;-;-;-;-;-;-;-;-
4751201;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.51-2;Comércio varejista especializado de equipamentos e suprimentos de informática;Comércio varejista especializado de equipamentos e suprimentos de informática
4751202;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.51-2;Comércio varejista especializado de equipamentos e suprimentos de informática;Recarga de cartuchos para equipamentos de informática
4752100;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.52-1;Comércio varejista especializado de equipamentos de telefonia e comunicação;Comércio varejista especializado de equipamentos de telefonia e comunicação
4753900;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.53-9;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
4754701;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.54-7;Comércio varejista especializado de móveis colchoaria e artigos de iluminação;Comércio varejista de móveis
4754702;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.5;Comércio varejista de equipamentos de informática e comunicação equipamentos e artigos de uso doméstico;47.54-7;Comércio varejista especializado de móveis colchoaria e artigos de iluminação;Comércio varejista de artigos de colchoaria
